 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,1.49,0.74,1.73,1.49,1.24,0.0,0.0
01:00 - 02:00,1.98,3.47,1.49,2.48,0.5,0.0,0.0
02:00 - 03:00,0.25,0.74,1.98,0.0,1.73,0.0,0.0
03:00 - 04:00,0.25,0.5,0.25,0.25,0.25,0.25,0.0
04:00 - 05:00,0.0,0.74,0.5,0.0,0.0,0.0,0.0
05:00 - 06:00,0.0,3.71,0.0,0.25,0.74,0.0,0.0
06:00 - 07:00,0.25,0.0,0.0,0.25,0.0,0.0,0.0
07:00 - 08:00,0.0,0.25,0.25,0.25,0.0,0.0,0.0
08:00 - 09:00,0.0,0.0,0.0,0.25,0.25,0.0,0.0
09:00 - 10:00,1.24,0.0,0.0,0.25,0.0,0.0,0.0
10:00 - 11:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:00 - 12:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:00 - 13:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13:00 - 14:00,0.0,0.0,0.25,0.0,0.0,0.0,0.0
14:00 - 15:00,0.0,0.0,0.0,0.25,0.0,0.0,0.0
15:00 - 16:00,0.0,0.0,0.0,1.49,0.0,0.74,0.5
16:00 - 17:00,0.25,0.0,0.74,5.45,0.0,0.0,0.5
17:00 - 18:00,0.5,1.24,1.98,1.73,0.0,0.0,0.99
18:00 - 19:00,0.25,2.97,0.74,4.46,0.0,0.0,2.23
19:00 - 20:00,0.25,3.22,0.99,1.73,0.0,0.0,0.5
20:00 - 21:00,3.22,2.72,2.48,0.99,0.0,0.0,1.98
21:00 - 22:00,0.99,1.73,1.98,1.98,0.0,0.0,0.0
22:00 - 23:00,1.73,2.97,0.74,1.49,0.0,0.0,0.74
23:00 - 00:00,2.23,1.49,2.72,0.99,0.0,0.0,0.74
