 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.7,0.0,0.23,0.23,0.0,0.0
01:00 - 02:00,0.0,0.0,0.0,0.23,0.23,0.0,0.0
02:00 - 03:00,0.0,0.23,0.0,0.23,0.47,0.23,0.0
03:00 - 04:00,0.23,0.94,0.7,0.47,0.0,0.23,0.0
04:00 - 05:00,1.17,0.23,0.47,0.94,0.47,0.0,0.0
05:00 - 06:00,0.47,0.94,0.7,0.7,0.7,0.47,0.0
06:00 - 07:00,1.17,1.17,1.41,1.87,0.7,0.0,0.0
07:00 - 08:00,2.34,0.94,1.64,1.87,1.17,0.0,0.0
08:00 - 09:00,2.11,2.81,1.17,2.34,0.47,0.23,0.0
09:00 - 10:00,1.87,2.11,3.28,2.11,1.17,0.47,0.0
10:00 - 11:00,1.41,2.81,1.64,3.51,0.94,0.0,0.0
11:00 - 12:00,1.41,1.41,2.11,2.81,0.47,0.0,0.23
12:00 - 13:00,1.17,1.17,0.47,0.94,0.47,0.0,0.0
13:00 - 14:00,0.47,0.94,1.87,0.47,0.0,0.0,0.0
14:00 - 15:00,1.17,0.47,0.23,1.41,0.23,0.0,0.0
15:00 - 16:00,0.7,2.11,1.87,1.41,0.94,0.0,0.0
16:00 - 17:00,0.0,1.17,0.94,0.47,0.7,0.0,0.23
17:00 - 18:00,0.7,0.7,0.47,0.23,0.47,0.0,0.0
18:00 - 19:00,1.64,0.47,1.41,0.7,0.23,0.0,0.0
19:00 - 20:00,0.94,0.94,0.23,0.0,0.23,0.0,0.0
20:00 - 21:00,0.94,0.23,0.0,0.23,0.0,0.0,0.0
21:00 - 22:00,0.0,0.0,0.23,0.0,0.23,0.0,0.23
22:00 - 23:00,0.0,0.0,0.0,0.23,0.0,0.0,0.0
23:00 - 00:00,0.0,0.23,0.0,0.23,0.0,0.0,0.0
