 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:00 - 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.53
02:00 - 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00 - 04:00,0.0,0.0,0.0,0.53,0.0,0.0,0.0
04:00 - 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00 - 06:00,0.53,0.0,0.0,0.0,0.0,0.0,0.0
06:00 - 07:00,1.59,1.06,1.06,1.06,0.0,0.0,0.0
07:00 - 08:00,1.06,1.59,1.06,1.59,5.82,0.0,0.0
08:00 - 09:00,1.06,0.53,2.12,1.06,0.0,0.0,0.0
09:00 - 10:00,2.12,1.06,2.65,2.12,1.59,0.0,0.0
10:00 - 11:00,0.53,7.41,2.65,5.82,0.53,0.0,0.0
11:00 - 12:00,9.52,3.17,3.7,1.59,0.0,0.0,0.0
12:00 - 13:00,0.53,1.59,3.7,1.59,0.53,0.0,0.0
13:00 - 14:00,2.65,2.65,1.59,0.0,0.53,0.0,0.0
14:00 - 15:00,1.06,0.53,1.59,0.53,1.06,0.0,0.0
15:00 - 16:00,2.12,0.53,0.53,0.53,0.53,0.0,0.0
16:00 - 17:00,1.06,0.0,2.12,0.0,0.0,0.0,0.0
17:00 - 18:00,1.06,0.0,0.0,0.0,0.0,0.0,0.0
18:00 - 19:00,0.0,0.0,0.53,0.0,0.0,0.0,0.53
19:00 - 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:00 - 21:00,0.0,0.53,0.0,0.0,0.0,0.0,0.0
21:00 - 22:00,1.06,1.06,0.0,0.53,0.0,0.0,0.0
22:00 - 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:00 - 00:00,0.0,0.53,0.0,0.0,0.0,0.0,0.0
