 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,1.36,0.91,1.82,1.36,0.0,0.0
01:00 - 02:00,0.45,0.91,2.27,1.82,5.0,0.0,0.0
02:00 - 03:00,0.45,0.45,0.91,2.27,0.45,0.0,0.45
03:00 - 04:00,0.45,1.36,1.36,1.82,0.45,0.45,0.0
04:00 - 05:00,2.27,0.91,4.09,3.18,1.82,0.0,0.0
05:00 - 06:00,4.09,0.91,1.36,1.36,0.0,0.0,0.0
06:00 - 07:00,4.09,1.82,1.36,1.36,3.18,0.0,0.0
07:00 - 08:00,0.45,0.45,0.45,0.0,3.64,0.0,0.0
08:00 - 09:00,0.91,1.36,1.82,0.45,0.45,0.0,0.0
09:00 - 10:00,0.0,0.0,0.0,0.45,0.91,0.0,0.0
10:00 - 11:00,0.0,0.45,2.73,2.27,0.91,0.0,0.0
11:00 - 12:00,0.91,0.0,0.45,0.0,0.0,0.0,0.0
12:00 - 13:00,0.91,0.0,0.45,0.0,0.0,0.0,0.0
13:00 - 14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14:00 - 15:00,0.0,0.0,0.91,0.0,0.0,0.0,0.0
15:00 - 16:00,0.0,0.0,0.0,0.91,0.0,0.0,0.0
16:00 - 17:00,0.0,0.45,0.45,0.0,0.0,0.0,0.0
17:00 - 18:00,0.0,0.45,0.0,0.0,0.0,0.0,0.0
18:00 - 19:00,0.0,0.0,0.0,0.91,0.0,0.0,0.0
19:00 - 20:00,0.0,0.45,0.0,0.0,0.0,0.0,0.0
20:00 - 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21:00 - 22:00,0.91,0.0,0.45,0.0,0.45,0.0,0.0
22:00 - 23:00,1.36,0.91,1.82,2.27,0.0,0.0,0.45
23:00 - 00:00,2.27,1.36,1.82,1.36,0.0,0.0,0.91
