 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.18,0.7,0.18,0.35,0.0,0.0,0.35
01:00 - 02:00,0.35,0.35,0.88,0.7,0.35,0.35,0.53
02:00 - 03:00,0.35,0.35,0.7,1.23,0.88,0.18,0.0
03:00 - 04:00,0.35,0.7,1.4,0.18,0.53,0.88,0.18
04:00 - 05:00,0.0,0.88,0.7,0.18,0.7,0.35,0.7
05:00 - 06:00,0.35,0.35,0.7,0.35,0.35,0.53,0.18
06:00 - 07:00,1.23,1.4,1.05,0.88,1.05,0.53,0.35
07:00 - 08:00,0.88,1.05,1.4,0.88,0.53,0.35,1.58
08:00 - 09:00,1.05,0.7,0.7,0.88,0.88,1.05,0.35
09:00 - 10:00,0.88,0.7,0.35,0.53,0.7,0.35,1.23
10:00 - 11:00,1.75,1.4,0.7,0.0,0.18,0.88,1.75
11:00 - 12:00,1.05,0.7,0.88,1.05,0.7,0.18,0.53
12:00 - 13:00,0.7,0.35,0.53,1.23,0.88,0.53,1.23
13:00 - 14:00,0.53,0.88,0.18,0.53,0.18,0.35,0.18
14:00 - 15:00,0.7,0.35,0.18,1.23,1.23,1.23,0.7
15:00 - 16:00,0.7,0.88,0.18,0.53,1.58,2.28,0.18
16:00 - 17:00,0.7,1.05,1.58,1.93,1.75,2.46,0.53
17:00 - 18:00,0.35,0.18,0.88,0.35,0.88,0.7,0.53
18:00 - 19:00,0.0,0.0,0.18,0.53,0.35,0.53,0.7
19:00 - 20:00,0.53,0.18,0.0,0.35,0.53,0.18,0.35
20:00 - 21:00,0.0,0.7,0.88,0.35,0.0,0.18,0.18
21:00 - 22:00,0.53,0.35,0.18,0.53,0.18,0.18,0.35
22:00 - 23:00,0.18,0.35,0.0,0.35,0.0,0.0,0.18
23:00 - 00:00,0.18,0.0,0.18,0.35,0.0,0.18,0.35
