 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,1.26,0.36,0.72,0.36,0.36,0.0
01:00 - 02:00,0.0,0.36,0.54,0.72,0.36,0.0,0.0
02:00 - 03:00,0.0,0.18,0.36,0.54,0.72,0.9,0.0
03:00 - 04:00,0.18,0.0,1.26,0.9,0.18,0.72,0.0
04:00 - 05:00,0.0,0.0,0.36,0.9,1.26,1.08,0.0
05:00 - 06:00,0.0,0.0,0.18,0.18,0.18,0.0,0.0
06:00 - 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07:00 - 08:00,0.0,0.54,0.72,0.0,0.36,0.18,0.0
08:00 - 09:00,0.54,0.0,0.54,0.0,0.36,0.0,0.0
09:00 - 10:00,0.18,0.36,0.54,0.54,0.0,0.0,0.0
10:00 - 11:00,0.36,0.18,0.0,0.54,0.18,0.18,0.0
11:00 - 12:00,0.36,0.36,0.0,0.36,0.36,0.0,0.0
12:00 - 13:00,0.0,0.0,0.18,0.54,0.36,0.0,0.0
13:00 - 14:00,0.0,0.72,1.08,0.36,0.18,0.36,0.0
14:00 - 15:00,0.18,0.36,1.08,0.18,0.18,0.0,0.0
15:00 - 16:00,0.0,0.18,0.54,0.54,0.18,0.0,0.18
16:00 - 17:00,0.0,0.0,0.54,0.72,0.72,0.18,0.36
17:00 - 18:00,0.9,1.26,0.72,0.72,0.36,0.0,0.0
18:00 - 19:00,0.36,0.9,42.06,0.18,0.36,0.0,0.0
19:00 - 20:00,0.18,0.36,0.0,0.9,1.08,0.0,0.0
20:00 - 21:00,0.18,1.62,0.72,0.36,0.18,0.0,0.0
21:00 - 22:00,0.36,1.62,0.9,0.18,0.0,0.0,0.18
22:00 - 23:00,0.72,2.53,0.54,0.72,0.54,0.0,0.0
23:00 - 00:00,0.54,2.17,0.54,0.54,1.62,0.0,0.0
