 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.18,2.11,0.88,0.53,0.7,0.18,0.18
01:00 - 02:00,1.06,1.76,0.88,0.35,0.53,0.7,0.18
02:00 - 03:00,0.53,1.06,1.76,1.06,1.23,0.7,0.35
03:00 - 04:00,0.35,1.94,0.7,0.88,1.76,0.0,0.53
04:00 - 05:00,0.35,2.29,0.18,0.88,1.06,0.7,0.53
05:00 - 06:00,1.41,1.41,0.7,0.18,0.0,0.53,0.0
06:00 - 07:00,0.35,0.18,0.53,0.7,0.88,0.35,0.0
07:00 - 08:00,0.7,1.23,1.58,0.35,1.06,0.53,0.0
08:00 - 09:00,1.41,1.94,0.53,0.7,0.53,1.41,0.0
09:00 - 10:00,1.06,0.53,1.06,0.53,0.7,0.88,0.0
10:00 - 11:00,0.7,1.06,0.7,0.7,0.35,0.0,0.53
11:00 - 12:00,0.35,0.18,0.18,1.06,0.35,0.18,0.18
12:00 - 13:00,0.35,0.35,0.7,0.18,0.53,0.0,0.0
13:00 - 14:00,0.53,0.88,1.41,0.7,0.35,0.18,0.0
14:00 - 15:00,0.7,0.18,1.23,0.0,0.88,1.06,0.0
15:00 - 16:00,1.23,0.53,1.58,0.18,0.18,0.53,0.18
16:00 - 17:00,0.7,0.7,1.06,0.7,0.53,0.18,0.0
17:00 - 18:00,0.35,0.88,1.23,0.35,0.88,0.35,0.0
18:00 - 19:00,0.88,0.18,0.88,0.0,1.06,0.0,0.35
19:00 - 20:00,0.7,0.7,0.18,0.88,0.18,0.0,0.0
20:00 - 21:00,0.35,0.88,0.7,0.7,0.7,0.18,0.0
21:00 - 22:00,0.35,0.35,0.35,0.53,0.35,0.0,0.0
22:00 - 23:00,0.53,0.7,1.06,0.0,0.53,0.18,0.7
23:00 - 00:00,0.53,0.35,0.7,0.0,1.06,0.18,0.0
