 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,1.08,1.08,0.31,1.23,0.46,3.7,0.62
01:00 - 02:00,0.31,1.39,0.77,0.62,1.08,0.93,0.93
02:00 - 03:00,0.93,0.31,0.77,0.62,0.46,0.15,0.31
03:00 - 04:00,0.15,1.39,0.93,1.23,0.46,0.46,0.15
04:00 - 05:00,0.31,0.46,0.31,0.77,0.31,0.31,0.15
05:00 - 06:00,0.0,0.62,0.46,0.46,1.54,0.31,2.31
06:00 - 07:00,0.15,0.62,0.31,0.0,0.0,0.46,0.46
07:00 - 08:00,0.0,0.31,0.31,0.46,0.62,0.77,0.31
08:00 - 09:00,0.15,1.08,0.31,0.46,1.08,0.15,0.15
09:00 - 10:00,0.0,0.62,0.15,0.46,0.0,0.15,0.0
10:00 - 11:00,0.31,0.93,0.62,0.15,0.15,0.0,0.0
11:00 - 12:00,0.15,0.77,0.31,0.15,0.15,0.0,0.0
12:00 - 13:00,0.46,0.0,0.15,0.15,0.31,0.0,0.0
13:00 - 14:00,0.46,1.23,0.46,0.31,0.62,0.15,0.46
14:00 - 15:00,0.15,0.46,0.77,0.15,0.31,0.15,0.0
15:00 - 16:00,0.15,0.31,0.77,1.08,0.46,0.15,0.46
16:00 - 17:00,1.08,0.46,0.77,0.77,0.93,0.15,0.0
17:00 - 18:00,1.08,1.08,1.08,0.46,1.08,0.62,0.46
18:00 - 19:00,0.62,0.62,0.93,1.08,0.31,0.93,0.46
19:00 - 20:00,0.77,0.77,1.23,0.31,1.08,0.46,0.15
20:00 - 21:00,0.46,0.31,1.54,1.08,1.23,0.15,0.93
21:00 - 22:00,1.08,0.31,2.16,1.39,1.7,0.31,0.77
22:00 - 23:00,1.08,1.08,0.93,0.77,1.7,0.15,0.31
23:00 - 00:00,0.93,1.54,0.93,0.62,0.93,0.31,0.93
