 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:00 - 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00 - 03:00,0.0,0.0,0.59,0.0,0.0,0.0,0.0
03:00 - 04:00,0.29,0.44,0.15,0.15,0.0,0.0,0.0
04:00 - 05:00,1.62,1.03,0.29,0.73,0.0,0.0,0.0
05:00 - 06:00,0.88,0.44,0.59,0.88,0.59,0.15,0.29
06:00 - 07:00,0.29,0.73,0.29,0.59,0.59,0.0,0.0
07:00 - 08:00,0.29,0.29,0.88,0.73,0.44,0.0,0.0
08:00 - 09:00,0.29,0.44,1.32,0.59,2.94,0.15,0.0
09:00 - 10:00,0.88,1.47,1.47,2.2,0.73,0.0,0.0
10:00 - 11:00,0.59,2.35,3.08,1.91,0.73,0.0,0.0
11:00 - 12:00,0.73,1.76,2.79,1.32,0.44,0.0,0.0
12:00 - 13:00,1.32,1.76,3.52,1.91,0.88,0.0,0.0
13:00 - 14:00,0.59,1.17,2.5,0.44,0.29,0.15,0.0
14:00 - 15:00,1.91,1.62,0.88,1.32,0.73,0.0,0.0
15:00 - 16:00,3.52,1.03,2.2,1.17,1.32,0.0,0.0
16:00 - 17:00,1.76,2.06,1.76,0.44,1.32,0.0,0.0
17:00 - 18:00,2.5,2.79,9.54,0.73,0.29,0.0,0.0
18:00 - 19:00,0.44,0.0,0.15,0.29,0.15,0.0,0.0
19:00 - 20:00,0.0,0.15,0.29,0.59,0.15,0.0,0.0
20:00 - 21:00,0.15,0.0,0.15,0.0,0.15,0.0,0.0
21:00 - 22:00,0.0,0.0,0.15,0.29,0.0,0.0,0.0
22:00 - 23:00,0.15,0.29,0.44,0.0,0.0,0.0,0.0
23:00 - 00:00,0.15,0.0,0.0,0.0,0.0,0.0,0.0
