 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,1.58,0.79,0.4,0.0,0.4,0.0,0.79
01:00 - 02:00,0.79,0.0,0.0,0.0,0.4,0.79,0.0
02:00 - 03:00,0.0,0.79,2.77,0.0,0.0,1.98,0.0
03:00 - 04:00,1.58,0.4,0.79,1.58,0.79,0.4,0.4
04:00 - 05:00,0.0,0.0,0.0,0.4,0.4,0.79,0.0
05:00 - 06:00,0.4,0.0,0.4,0.79,0.0,0.79,0.79
06:00 - 07:00,0.0,0.4,1.98,0.79,0.79,0.79,0.4
07:00 - 08:00,0.79,0.4,0.4,0.4,1.98,0.4,0.4
08:00 - 09:00,0.0,0.0,0.79,0.79,0.4,0.79,0.4
09:00 - 10:00,0.0,0.0,0.4,0.0,0.0,0.0,0.79
10:00 - 11:00,0.4,0.0,0.4,1.19,0.4,0.0,0.79
11:00 - 12:00,0.0,0.79,0.4,0.0,0.0,0.0,0.79
12:00 - 13:00,0.4,0.0,0.0,0.0,1.98,0.0,1.58
13:00 - 14:00,0.0,0.4,0.4,0.4,3.56,0.79,1.19
14:00 - 15:00,0.4,0.79,0.79,0.0,2.37,0.4,0.0
15:00 - 16:00,0.79,0.79,0.79,0.4,2.37,1.19,1.98
16:00 - 17:00,0.0,1.19,1.19,0.79,0.4,0.79,1.19
17:00 - 18:00,0.0,0.4,0.0,0.4,1.58,0.4,0.0
18:00 - 19:00,1.19,2.37,0.4,0.0,0.4,0.4,2.37
19:00 - 20:00,0.0,0.4,0.0,0.0,0.4,0.4,0.0
20:00 - 21:00,0.4,0.4,0.4,0.4,0.79,0.79,0.0
21:00 - 22:00,1.19,0.79,0.0,0.4,1.58,0.79,0.4
22:00 - 23:00,0.4,0.79,0.0,0.4,3.16,0.0,0.79
23:00 - 00:00,0.79,0.4,0.0,0.4,1.58,0.4,0.79
