 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,1.23,0.0,0.0,0.0,0.0
01:00 - 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00 - 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00 - 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:00 - 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00 - 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:00 - 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07:00 - 08:00,0.61,1.23,0.61,0.61,0.61,0.0,0.0
08:00 - 09:00,0.0,1.23,0.0,4.29,0.0,0.0,0.0
09:00 - 10:00,1.23,1.23,1.84,1.23,3.07,0.0,0.0
10:00 - 11:00,1.23,2.45,0.61,2.45,0.0,0.0,0.0
11:00 - 12:00,1.23,1.23,0.61,1.23,0.0,0.0,0.0
12:00 - 13:00,1.84,0.61,5.52,3.07,2.45,0.0,0.0
13:00 - 14:00,2.45,1.84,1.23,3.68,2.45,0.0,0.0
14:00 - 15:00,3.07,4.91,1.84,3.07,1.23,0.0,1.23
15:00 - 16:00,1.23,0.61,1.23,0.61,0.61,0.0,0.61
16:00 - 17:00,0.61,0.0,1.84,0.0,4.91,0.0,0.0
17:00 - 18:00,0.0,1.23,0.61,2.45,0.0,0.0,0.0
18:00 - 19:00,0.0,1.23,0.0,0.0,0.0,0.0,0.0
19:00 - 20:00,0.61,1.23,0.61,0.0,0.0,0.0,0.61
20:00 - 21:00,0.0,0.0,1.84,0.61,0.0,0.61,0.0
21:00 - 22:00,0.0,0.61,0.0,3.68,0.61,0.0,0.0
22:00 - 23:00,0.0,0.0,0.0,0.61,0.0,0.0,0.0
23:00 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
