 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,2.43,1.39,1.04,0.0,0.35,0.0
01:00 - 02:00,0.69,0.0,0.0,0.69,0.0,0.0,0.0
02:00 - 03:00,0.35,0.0,1.04,0.69,0.0,0.0,0.0
03:00 - 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:00 - 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00 - 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:00 - 07:00,0.0,0.0,0.35,0.35,0.0,0.0,0.0
07:00 - 08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:00 - 09:00,0.0,0.0,1.04,0.69,0.35,0.0,0.0
09:00 - 10:00,1.04,0.35,0.35,0.69,0.0,0.0,0.0
10:00 - 11:00,1.74,1.04,3.12,0.0,0.69,0.0,0.0
11:00 - 12:00,0.0,1.39,0.0,0.35,1.74,0.0,0.0
12:00 - 13:00,0.35,0.35,0.69,0.35,1.04,0.0,0.0
13:00 - 14:00,0.69,1.74,0.69,0.0,2.78,3.82,0.0
14:00 - 15:00,1.04,0.35,0.35,0.69,1.04,0.0,0.0
15:00 - 16:00,0.35,2.43,1.04,1.04,0.0,0.0,0.35
16:00 - 17:00,1.74,1.04,1.04,0.69,0.0,0.69,0.35
17:00 - 18:00,0.69,1.04,5.21,3.12,0.69,0.0,0.0
18:00 - 19:00,4.17,0.69,2.08,2.08,0.0,0.0,0.0
19:00 - 20:00,5.56,0.0,0.0,0.0,0.35,0.0,0.0
20:00 - 21:00,0.69,0.35,0.35,1.39,0.0,0.0,0.35
21:00 - 22:00,1.39,0.35,0.69,0.0,0.0,0.0,0.35
22:00 - 23:00,0.0,0.35,0.35,0.35,0.0,13.19,0.69
23:00 - 00:00,0.35,0.69,0.69,0.69,0.0,0.0,0.35
