 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.13,0.0,0.88,0.25,0.13,0.0,0.0
01:00 - 02:00,0.63,0.5,0.38,0.63,0.0,0.0,0.0
02:00 - 03:00,0.13,0.75,0.5,0.38,0.13,0.13,0.0
03:00 - 04:00,0.38,1.13,0.5,0.38,0.5,0.0,0.0
04:00 - 05:00,0.13,0.38,0.13,0.75,0.0,0.0,0.0
05:00 - 06:00,0.0,0.75,0.25,0.25,0.0,0.0,0.0
06:00 - 07:00,0.5,1.13,0.25,0.38,0.63,0.0,0.0
07:00 - 08:00,3.13,2.26,1.38,0.38,0.38,0.0,0.0
08:00 - 09:00,0.5,1.75,1.0,0.75,1.0,0.0,0.0
09:00 - 10:00,0.63,1.5,1.13,0.75,0.38,0.0,0.38
10:00 - 11:00,0.75,2.13,0.88,0.13,1.75,0.0,0.0
11:00 - 12:00,2.76,2.88,1.5,0.25,0.5,0.0,0.0
12:00 - 13:00,0.63,1.25,1.63,0.75,0.5,0.0,0.0
13:00 - 14:00,1.63,1.0,2.63,0.75,0.5,0.0,0.0
14:00 - 15:00,1.5,2.76,0.75,1.63,1.25,0.0,0.0
15:00 - 16:00,1.88,1.38,1.63,0.63,1.0,0.0,0.13
16:00 - 17:00,0.13,1.13,1.75,1.38,0.75,0.0,0.0
17:00 - 18:00,0.25,0.75,2.13,1.0,0.13,0.0,0.0
18:00 - 19:00,0.5,0.5,1.25,1.38,1.38,0.0,0.0
19:00 - 20:00,0.5,1.63,1.75,0.38,1.38,0.0,0.0
20:00 - 21:00,1.0,0.38,0.75,0.38,0.38,0.0,0.0
21:00 - 22:00,0.0,0.13,0.63,1.38,0.38,0.0,0.0
22:00 - 23:00,0.38,0.63,0.25,0.63,0.63,0.0,0.0
23:00 - 00:00,0.25,0.0,0.38,0.38,0.13,0.0,0.38
