 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.25,0.74,0.74,0.5,0.25,1.99,0.74
01:00 - 02:00,0.0,0.74,0.5,0.5,0.99,0.99,0.0
02:00 - 03:00,0.0,0.5,0.99,0.99,1.74,0.0,0.0
03:00 - 04:00,0.25,0.74,0.74,0.25,0.5,0.0,0.0
04:00 - 05:00,0.0,0.74,0.5,0.0,0.74,0.0,0.25
05:00 - 06:00,0.0,0.99,0.25,0.25,0.74,0.5,0.0
06:00 - 07:00,0.25,0.0,0.5,0.74,0.25,0.74,0.5
07:00 - 08:00,0.5,0.99,0.0,0.25,0.5,0.5,0.25
08:00 - 09:00,0.25,1.99,0.0,0.0,1.74,0.0,0.0
09:00 - 10:00,0.25,0.74,0.25,0.74,1.74,0.5,0.0
10:00 - 11:00,0.0,0.5,0.5,0.5,2.73,0.5,0.25
11:00 - 12:00,0.0,0.5,0.0,0.0,0.74,0.0,0.0
12:00 - 13:00,0.5,0.0,0.25,0.0,0.5,0.0,0.0
13:00 - 14:00,0.0,0.25,0.25,0.25,0.0,0.0,0.25
14:00 - 15:00,0.0,0.25,0.0,0.25,0.99,0.0,0.25
15:00 - 16:00,0.25,0.74,1.24,0.74,0.99,0.0,0.0
16:00 - 17:00,0.74,0.5,0.0,0.5,0.99,0.0,0.5
17:00 - 18:00,0.99,2.98,2.48,0.99,0.74,0.25,0.25
18:00 - 19:00,1.49,0.74,0.74,0.74,0.25,0.5,0.0
19:00 - 20:00,0.25,2.23,1.74,0.74,0.74,0.0,0.74
20:00 - 21:00,1.24,1.49,0.5,1.49,1.99,0.25,0.5
21:00 - 22:00,1.24,0.74,0.74,0.99,0.74,0.74,0.25
22:00 - 23:00,1.24,1.99,0.74,1.24,2.73,0.74,0.0
23:00 - 00:00,2.23,0.74,0.74,0.99,1.24,0.25,0.5
