 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,0.0,0.38,0.0,0.0,0.0
01:00 - 02:00,0.0,0.76,0.0,0.0,0.38,0.0,0.0
02:00 - 03:00,1.91,0.38,0.76,0.38,2.29,0.0,0.0
03:00 - 04:00,3.05,1.53,0.76,0.76,1.53,0.0,0.0
04:00 - 05:00,2.29,1.53,0.76,1.91,0.76,0.0,0.0
05:00 - 06:00,0.76,1.15,2.67,0.76,1.53,0.0,0.0
06:00 - 07:00,0.38,2.29,0.76,0.76,1.15,0.0,0.0
07:00 - 08:00,0.38,2.29,2.29,0.76,0.38,0.0,0.0
08:00 - 09:00,0.76,2.67,3.44,2.29,1.91,0.0,0.0
09:00 - 10:00,1.15,1.53,3.82,1.15,3.05,0.0,0.0
10:00 - 11:00,2.29,4.2,2.29,1.15,0.76,0.0,0.0
11:00 - 12:00,1.53,2.29,1.91,2.67,1.53,0.0,0.0
12:00 - 13:00,0.38,0.0,0.76,0.0,0.76,0.0,0.0
13:00 - 14:00,0.38,1.53,1.53,1.53,0.38,0.0,0.0
14:00 - 15:00,0.0,1.53,0.0,0.0,0.0,0.0,0.0
15:00 - 16:00,0.38,0.0,0.0,1.91,0.38,0.0,0.0
16:00 - 17:00,0.0,0.0,0.76,1.91,0.0,0.0,0.0
17:00 - 18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18:00 - 19:00,0.38,0.0,1.15,0.0,0.0,0.0,0.38
19:00 - 20:00,0.0,0.0,0.76,0.0,0.0,0.0,0.0
20:00 - 21:00,0.0,0.0,0.0,0.38,0.0,0.0,0.0
21:00 - 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22:00 - 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:00 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
