 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.58,0.0,0.29,0.0,0.29,0.0,0.0
01:00 - 02:00,0.87,1.16,0.87,0.58,0.58,0.29,0.0
02:00 - 03:00,0.0,0.87,0.0,0.29,0.0,0.0,0.29
03:00 - 04:00,0.0,4.64,0.29,0.0,0.29,1.45,0.0
04:00 - 05:00,0.0,0.0,0.0,0.0,1.45,0.0,0.0
05:00 - 06:00,0.0,0.0,0.0,0.0,1.45,0.0,0.0
06:00 - 07:00,0.0,0.0,0.29,0.0,0.0,0.0,0.0
07:00 - 08:00,0.29,0.0,0.0,0.29,0.0,0.0,0.0
08:00 - 09:00,0.0,0.58,0.29,0.0,0.0,0.0,0.0
09:00 - 10:00,0.58,0.58,0.58,0.0,0.29,3.77,0.0
10:00 - 11:00,0.58,0.29,0.0,0.29,0.29,0.0,0.0
11:00 - 12:00,0.0,0.87,0.87,0.29,0.0,0.0,0.0
12:00 - 13:00,0.29,3.19,0.0,0.0,0.87,0.29,0.0
13:00 - 14:00,2.03,0.29,1.45,0.0,1.16,0.29,0.0
14:00 - 15:00,2.03,2.03,0.58,0.29,0.58,0.0,0.0
15:00 - 16:00,1.74,0.87,0.29,0.29,0.58,0.0,0.87
16:00 - 17:00,3.48,1.16,0.58,1.45,0.29,0.0,0.0
17:00 - 18:00,1.74,1.45,0.58,0.87,1.45,0.29,0.0
18:00 - 19:00,0.87,2.03,2.03,0.87,0.29,0.29,0.0
19:00 - 20:00,1.45,0.58,0.58,2.03,0.29,0.0,0.29
20:00 - 21:00,1.45,1.16,0.58,3.19,1.16,0.29,0.0
21:00 - 22:00,4.06,2.32,2.32,0.87,0.29,0.0,0.0
22:00 - 23:00,0.58,0.29,2.61,1.16,0.87,0.29,0.0
23:00 - 00:00,0.58,0.87,1.16,1.16,0.29,0.0,0.0
