 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:00 - 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00 - 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00 - 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:00 - 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00 - 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:00 - 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07:00 - 08:00,0.47,0.0,1.42,2.37,3.32,0.0,0.0
08:00 - 09:00,0.0,0.0,5.69,0.0,3.32,0.0,0.0
09:00 - 10:00,0.47,1.42,0.95,0.0,0.0,0.0,0.0
10:00 - 11:00,2.84,1.9,2.84,0.95,0.0,0.0,0.0
11:00 - 12:00,1.42,0.0,0.0,9.0,0.47,0.0,0.0
12:00 - 13:00,0.0,0.0,1.42,0.0,0.47,0.0,0.0
13:00 - 14:00,8.53,0.47,0.47,0.47,2.84,0.0,0.0
14:00 - 15:00,0.95,0.95,10.43,5.69,0.47,0.0,0.0
15:00 - 16:00,2.37,0.0,5.21,0.0,0.47,0.0,0.0
16:00 - 17:00,0.0,0.47,0.0,15.17,1.42,0.0,0.0
17:00 - 18:00,0.95,0.47,0.0,0.95,0.0,0.0,0.0
18:00 - 19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:00 - 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:00 - 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21:00 - 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22:00 - 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:00 - 00:00,0.0,0.0,0.0,0.0,0.47,0.0,0.0
