 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.69,0.28,1.11,0.55,0.41,0.41,0.69
01:00 - 02:00,0.69,0.69,0.83,0.14,0.28,0.55,0.0
02:00 - 03:00,0.41,0.28,0.83,1.38,0.14,0.55,0.14
03:00 - 04:00,0.83,0.41,0.41,0.97,0.97,0.41,0.41
04:00 - 05:00,0.69,0.41,1.38,1.94,1.52,0.69,1.11
05:00 - 06:00,0.55,0.14,0.69,0.41,0.55,0.97,0.41
06:00 - 07:00,0.28,0.41,0.41,0.14,0.55,0.55,0.14
07:00 - 08:00,0.0,0.14,0.14,0.14,0.14,0.41,0.0
08:00 - 09:00,0.0,0.28,0.28,0.0,0.28,0.0,0.28
09:00 - 10:00,0.14,0.0,0.0,0.0,0.0,0.14,0.14
10:00 - 11:00,0.0,0.28,0.14,0.0,0.14,0.55,0.41
11:00 - 12:00,0.0,0.14,0.0,0.0,0.0,0.41,0.0
12:00 - 13:00,0.0,0.14,0.0,0.0,0.14,0.14,0.0
13:00 - 14:00,0.14,0.0,0.41,0.0,0.14,0.0,0.0
14:00 - 15:00,0.14,0.28,1.24,0.41,0.41,0.0,0.0
15:00 - 16:00,0.97,0.41,0.83,0.55,1.11,0.41,0.14
16:00 - 17:00,1.66,0.97,1.52,1.8,0.83,0.41,0.41
17:00 - 18:00,1.24,0.83,2.49,1.8,0.41,0.28,0.41
18:00 - 19:00,0.83,0.55,1.94,1.11,1.38,0.55,0.14
19:00 - 20:00,0.69,1.66,0.97,1.8,0.83,0.14,0.69
20:00 - 21:00,0.41,1.11,0.97,1.52,0.83,0.55,3.32
21:00 - 22:00,1.38,1.38,1.66,1.94,1.24,0.14,1.38
22:00 - 23:00,1.24,0.97,1.24,1.11,1.52,0.97,0.97
23:00 - 00:00,0.28,0.55,0.69,0.83,0.55,0.55,0.28
