 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,2,1,6,10,7,11,0
01:00 - 02:00,0,5,4,2,3,5,0
02:00 - 03:00,0,1,3,5,2,7,0
03:00 - 04:00,0,5,5,8,5,7,1
04:00 - 05:00,0,3,5,5,5,3,0
05:00 - 06:00,2,4,4,8,4,3,0
06:00 - 07:00,1,1,4,6,5,3,0
07:00 - 08:00,0,5,3,1,2,0,0
08:00 - 09:00,1,0,2,2,3,4,1
09:00 - 10:00,3,0,3,1,1,1,1
10:00 - 11:00,2,0,0,1,1,1,1
11:00 - 12:00,0,0,0,2,2,1,1
12:00 - 13:00,3,1,0,2,1,0,0
13:00 - 14:00,1,1,8,0,0,0,0
14:00 - 15:00,6,4,5,0,1,0,0
15:00 - 16:00,1,4,4,5,6,1,0
16:00 - 17:00,2,6,3,5,1,0,0
17:00 - 18:00,6,5,4,6,4,0,0
18:00 - 19:00,7,9,10,8,6,1,0
19:00 - 20:00,7,12,8,7,10,3,1
20:00 - 21:00,12,4,14,7,9,0,3
21:00 - 22:00,7,13,8,6,9,0,0
22:00 - 23:00,10,3,9,15,10,1,0
23:00 - 00:00,7,6,7,9,9,0,0
