 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,0.39,0.0,0.39,0.39,0.0
01:00 - 02:00,0.39,1.18,0.0,0.39,3.54,0.39,0.0
02:00 - 03:00,0.39,0.39,0.0,0.39,0.39,0.39,0.0
03:00 - 04:00,0.0,0.79,0.0,0.0,0.0,0.0,0.0
04:00 - 05:00,0.0,0.79,0.0,0.0,0.39,0.0,0.0
05:00 - 06:00,0.0,0.0,0.0,0.0,0.79,0.0,0.0
06:00 - 07:00,0.0,0.39,0.0,0.39,0.39,0.0,0.0
07:00 - 08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:00 - 09:00,0.0,0.0,0.0,0.0,0.0,0.0,0.39
09:00 - 10:00,0.79,0.0,0.0,0.0,0.0,0.39,0.0
10:00 - 11:00,0.0,0.0,0.0,0.39,0.0,0.0,0.0
11:00 - 12:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:00 - 13:00,0.0,0.0,0.0,0.0,0.39,0.79,0.0
13:00 - 14:00,0.0,0.0,3.94,0.79,0.39,0.0,0.0
14:00 - 15:00,0.79,0.39,0.0,4.33,0.39,0.39,0.0
15:00 - 16:00,0.39,1.18,3.94,0.39,0.0,0.0,0.0
16:00 - 17:00,2.36,4.33,3.15,1.18,1.18,0.0,0.0
17:00 - 18:00,2.36,1.18,0.0,1.18,0.79,0.39,0.0
18:00 - 19:00,1.18,1.97,2.36,5.12,2.76,0.0,0.0
19:00 - 20:00,2.76,0.79,5.12,3.94,0.39,0.0,1.57
20:00 - 21:00,0.39,1.57,1.57,2.36,1.18,0.39,1.97
21:00 - 22:00,0.39,1.97,0.39,1.18,0.79,0.0,0.39
22:00 - 23:00,0.0,0.79,0.0,1.57,0.79,0.79,0.0
23:00 - 00:00,0.0,0.79,0.0,0.0,1.18,0.0,0.0
