 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.61,0.61,1.23,0.0,0.0,0.0,0.0
01:00 - 02:00,0.0,8.59,0.0,0.0,0.0,0.61,0.0
02:00 - 03:00,0.0,0.61,0.0,0.0,0.0,0.0,0.0
03:00 - 04:00,0.0,0.0,0.0,0.61,0.61,0.0,0.61
04:00 - 05:00,0.0,0.0,1.84,0.61,1.23,0.0,0.0
05:00 - 06:00,0.0,0.61,0.0,0.61,0.0,1.23,0.61
06:00 - 07:00,0.0,0.61,0.0,0.0,0.61,0.0,0.0
07:00 - 08:00,0.61,0.0,0.61,0.61,0.0,0.0,0.0
08:00 - 09:00,0.0,0.61,0.0,0.61,0.61,0.0,0.0
09:00 - 10:00,1.23,0.61,0.0,0.61,0.61,0.0,0.0
10:00 - 11:00,0.0,1.23,0.0,0.61,1.84,0.0,0.0
11:00 - 12:00,0.0,1.23,0.61,0.0,0.61,0.0,0.0
12:00 - 13:00,0.0,0.61,0.61,0.0,0.0,0.0,0.0
13:00 - 14:00,4.29,1.84,0.0,3.07,4.29,0.61,0.0
14:00 - 15:00,1.23,1.23,5.52,6.13,3.07,0.0,0.61
15:00 - 16:00,1.23,1.23,2.45,3.07,1.84,0.0,0.0
16:00 - 17:00,0.61,1.84,5.52,0.61,0.61,0.0,0.0
17:00 - 18:00,0.61,0.0,0.0,0.0,0.61,0.0,0.61
18:00 - 19:00,0.0,0.61,0.0,0.0,0.61,0.0,0.0
19:00 - 20:00,0.0,0.61,0.61,0.0,0.0,0.0,0.0
20:00 - 21:00,0.0,0.61,0.0,0.61,0.0,0.0,0.0
21:00 - 22:00,0.61,1.84,0.0,0.0,0.0,0.0,0.61
22:00 - 23:00,0.0,1.84,0.0,0.0,1.84,0.0,0.0
23:00 - 00:00,0.0,0.0,0.61,0.0,0.0,0.0,0.0
