 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,2.12,0.53,0.53,0.53,0.0,0.0
01:00 - 02:00,1.59,0.53,0.0,3.17,0.0,0.0,0.0
02:00 - 03:00,0.0,1.06,1.59,0.53,0.53,1.06,0.0
03:00 - 04:00,0.0,0.0,0.0,0.0,0.0,0.53,0.0
04:00 - 05:00,0.53,1.06,0.53,2.12,1.59,0.53,0.0
05:00 - 06:00,0.0,0.53,1.06,0.53,0.0,1.59,0.0
06:00 - 07:00,0.0,0.0,1.59,0.0,1.06,0.0,0.0
07:00 - 08:00,0.0,0.53,1.59,0.0,0.53,1.06,0.0
08:00 - 09:00,1.06,1.06,1.59,0.53,0.53,1.06,0.53
09:00 - 10:00,0.0,0.0,0.53,1.06,0.0,0.0,0.53
10:00 - 11:00,0.53,0.53,0.0,0.0,0.53,0.0,0.0
11:00 - 12:00,0.0,0.0,0.0,0.53,1.06,0.0,0.0
12:00 - 13:00,0.53,0.53,0.53,1.59,0.0,1.06,0.53
13:00 - 14:00,1.59,0.0,1.06,2.65,0.53,1.59,1.59
14:00 - 15:00,1.06,1.59,1.59,1.59,3.7,0.0,1.59
15:00 - 16:00,1.59,3.7,1.59,1.59,1.06,2.12,0.0
16:00 - 17:00,1.06,2.65,1.06,0.0,0.0,0.0,0.53
17:00 - 18:00,0.0,0.53,0.53,0.0,2.12,0.0,1.06
18:00 - 19:00,0.0,0.0,0.0,0.53,0.53,0.0,0.53
19:00 - 20:00,0.0,0.0,1.59,0.0,0.0,0.0,0.0
20:00 - 21:00,1.06,0.53,0.53,0.0,0.0,0.0,0.0
21:00 - 22:00,0.53,2.12,0.0,0.53,0.0,0.0,0.0
22:00 - 23:00,1.59,0.0,0.53,0.53,0.53,0.0,0.0
23:00 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
