 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,1,0,1,0,0,0,0
01:00 - 02:00,3,0,2,1,1,0,0
02:00 - 03:00,1,1,1,3,1,0,0
03:00 - 04:00,4,6,11,1,3,1,0
04:00 - 05:00,11,9,6,7,8,4,0
05:00 - 06:00,3,16,15,2,8,0,4
06:00 - 07:00,3,10,5,5,4,0,0
07:00 - 08:00,4,14,9,8,3,0,0
08:00 - 09:00,5,8,17,7,4,0,0
09:00 - 10:00,22,14,18,19,6,1,0
10:00 - 11:00,9,10,8,12,12,0,0
11:00 - 12:00,10,13,17,25,10,1,0
12:00 - 13:00,17,7,11,13,8,0,0
13:00 - 14:00,7,10,5,8,5,0,0
14:00 - 15:00,2,2,4,5,2,0,0
15:00 - 16:00,0,0,1,5,1,0,0
16:00 - 17:00,3,3,6,4,0,0,0
17:00 - 18:00,1,3,1,3,0,0,0
18:00 - 19:00,0,0,2,3,1,0,1
19:00 - 20:00,3,0,2,0,1,0,0
20:00 - 21:00,0,0,0,2,1,0,0
21:00 - 22:00,1,2,2,0,0,0,0
22:00 - 23:00,0,1,1,0,0,0,0
23:00 - 00:00,1,0,0,0,0,0,0
