 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.41,0.41,0.0,0.0,0.0,0.0
01:00 - 02:00,0.0,0.0,0.41,0.0,0.0,0.0,0.0
02:00 - 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00 - 04:00,0.0,0.0,0.0,0.41,0.0,0.0,0.82
04:00 - 05:00,0.0,0.0,0.41,0.0,0.82,0.0,0.41
05:00 - 06:00,0.41,0.0,0.0,0.41,0.41,0.0,0.0
06:00 - 07:00,0.82,1.23,0.41,0.0,0.41,0.0,0.82
07:00 - 08:00,0.82,2.46,0.0,0.41,0.0,1.64,0.0
08:00 - 09:00,0.41,2.05,1.23,1.23,0.41,0.41,0.41
09:00 - 10:00,0.41,0.82,0.41,0.41,1.23,0.41,1.23
10:00 - 11:00,0.82,0.0,0.82,0.82,0.41,0.41,1.64
11:00 - 12:00,0.82,1.23,1.23,0.41,0.82,0.82,0.41
12:00 - 13:00,2.05,0.41,0.41,0.0,1.23,0.41,0.82
13:00 - 14:00,0.82,0.41,1.23,2.05,0.0,0.41,0.82
14:00 - 15:00,0.82,0.82,2.05,0.0,0.41,0.41,0.0
15:00 - 16:00,2.87,0.82,1.23,1.64,0.82,0.0,0.0
16:00 - 17:00,2.05,2.05,0.41,0.82,0.0,0.41,0.82
17:00 - 18:00,0.82,0.82,0.41,1.23,0.82,0.0,0.82
18:00 - 19:00,0.0,0.41,2.05,0.0,0.0,1.23,1.23
19:00 - 20:00,1.23,0.41,0.41,0.41,1.23,0.82,0.41
20:00 - 21:00,0.82,2.46,0.82,0.41,0.41,0.41,0.0
21:00 - 22:00,2.46,0.41,1.23,0.0,0.0,0.41,0.82
22:00 - 23:00,1.23,0.41,0.82,0.41,0.0,0.41,1.64
23:00 - 00:00,1.64,0.41,0.41,0.41,0.41,0.82,0.0
