 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,1.05,0.0,0.0,1.05,0.0,0.0,0.0
01:00 - 02:00,0.0,2.11,0.0,0.0,0.0,1.05,0.0
02:00 - 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00 - 04:00,0.0,0.0,0.0,1.05,1.05,0.0,1.05
04:00 - 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00 - 06:00,2.11,0.0,0.0,0.0,0.0,0.0,0.0
06:00 - 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07:00 - 08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:00 - 09:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:00 - 10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10:00 - 11:00,0.0,0.0,0.0,0.0,1.05,0.0,0.0
11:00 - 12:00,1.05,0.0,0.0,0.0,1.05,0.0,0.0
12:00 - 13:00,1.05,1.05,0.0,1.05,1.05,0.0,1.05
13:00 - 14:00,3.16,0.0,0.0,1.05,1.05,3.16,1.05
14:00 - 15:00,1.05,5.26,0.0,3.16,2.11,2.11,1.05
15:00 - 16:00,1.05,2.11,2.11,0.0,0.0,0.0,1.05
16:00 - 17:00,1.05,1.05,1.05,2.11,1.05,0.0,1.05
17:00 - 18:00,2.11,0.0,0.0,1.05,0.0,0.0,1.05
18:00 - 19:00,3.16,4.21,0.0,0.0,0.0,0.0,0.0
19:00 - 20:00,0.0,2.11,1.05,1.05,3.16,0.0,0.0
20:00 - 21:00,1.05,1.05,0.0,1.05,1.05,0.0,1.05
21:00 - 22:00,2.11,0.0,0.0,1.05,0.0,1.05,3.16
22:00 - 23:00,0.0,6.32,0.0,1.05,2.11,1.05,0.0
23:00 - 00:00,0.0,0.0,1.05,0.0,0.0,0.0,0.0
