 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:00 - 02:00,0.0,0.8,0.0,0.0,0.0,0.0,0.0
02:00 - 03:00,0.0,0.0,0.53,0.27,0.0,0.0,0.0
03:00 - 04:00,0.0,0.27,2.13,0.27,0.0,0.0,0.0
04:00 - 05:00,1.6,1.06,1.06,1.6,1.06,0.0,0.0
05:00 - 06:00,0.0,0.27,1.06,0.8,1.33,0.0,0.0
06:00 - 07:00,2.13,2.39,0.53,1.6,4.26,0.0,0.0
07:00 - 08:00,1.06,1.33,8.24,0.53,0.53,0.0,0.0
08:00 - 09:00,1.33,0.53,2.39,0.8,0.53,0.0,0.27
09:00 - 10:00,2.13,1.06,3.19,2.13,0.53,0.0,0.0
10:00 - 11:00,1.33,0.53,1.6,1.33,0.53,0.0,0.0
11:00 - 12:00,1.33,1.06,3.46,0.53,0.8,0.0,0.0
12:00 - 13:00,1.86,0.8,1.06,2.66,3.19,0.0,0.0
13:00 - 14:00,2.13,0.8,1.86,1.6,0.27,0.0,0.0
14:00 - 15:00,0.53,1.06,1.6,2.13,1.06,0.0,0.0
15:00 - 16:00,1.33,0.53,0.0,1.06,0.53,0.0,0.0
16:00 - 17:00,5.32,0.27,0.0,0.53,0.27,0.0,0.0
17:00 - 18:00,0.27,0.27,0.27,0.53,0.53,0.0,0.0
18:00 - 19:00,0.0,0.0,0.27,0.0,0.27,0.0,0.27
19:00 - 20:00,0.27,0.0,0.27,0.0,0.0,0.0,0.0
20:00 - 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21:00 - 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22:00 - 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:00 - 00:00,0.0,0.27,0.0,0.0,0.0,0.0,0.0
