 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,0.39,0.0,0.0,0.0,0.0
01:00 - 02:00,0.39,0.0,0.39,0.0,0.0,0.0,0.0
02:00 - 03:00,0.0,0.0,0.39,0.0,0.0,0.0,0.0
03:00 - 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:00 - 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00 - 06:00,0.0,0.39,0.79,0.0,0.39,0.0,0.0
06:00 - 07:00,2.36,1.18,0.79,0.79,1.18,0.0,0.0
07:00 - 08:00,0.39,0.0,1.57,1.18,2.36,0.0,0.79
08:00 - 09:00,3.15,1.57,0.39,1.18,1.18,2.36,0.0
09:00 - 10:00,2.76,1.57,1.97,0.0,0.39,0.0,0.39
10:00 - 11:00,0.79,0.79,0.79,0.39,0.79,0.0,0.39
11:00 - 12:00,0.39,0.79,1.18,1.18,1.57,0.79,0.39
12:00 - 13:00,0.39,0.39,2.36,0.39,1.97,0.39,0.79
13:00 - 14:00,1.18,0.39,0.79,0.0,1.18,0.0,0.39
14:00 - 15:00,1.57,0.39,0.39,0.0,0.0,0.79,0.0
15:00 - 16:00,0.39,1.97,0.79,1.57,1.18,0.0,0.79
16:00 - 17:00,1.57,0.39,0.0,0.39,0.39,0.39,0.79
17:00 - 18:00,0.79,0.79,0.39,0.0,0.79,0.79,1.97
18:00 - 19:00,0.79,0.79,0.39,0.79,0.39,0.39,0.79
19:00 - 20:00,1.18,1.18,0.0,0.39,0.79,0.39,0.79
20:00 - 21:00,1.18,0.39,0.39,0.0,1.57,0.0,2.36
21:00 - 22:00,2.36,0.79,0.79,0.39,0.39,0.39,0.79
22:00 - 23:00,0.0,0.79,2.76,0.39,0.0,1.57,0.39
23:00 - 00:00,0.0,0.39,0.0,0.0,0.0,0.0,0.0
