 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.72,0.72,0.72,1.08,1.08,0.72,0.72
01:00 - 02:00,1.8,0.72,1.08,1.08,2.16,1.44,0.0
02:00 - 03:00,0.36,0.72,1.08,0.72,0.0,1.44,0.0
03:00 - 04:00,0.0,1.08,0.36,1.44,0.72,0.0,0.0
04:00 - 05:00,0.0,0.72,0.36,0.72,0.0,0.36,0.0
05:00 - 06:00,0.0,0.72,1.08,0.72,1.08,1.44,0.36
06:00 - 07:00,0.36,0.0,1.44,1.08,1.44,0.36,0.0
07:00 - 08:00,0.0,0.36,1.8,2.16,1.08,0.0,0.0
08:00 - 09:00,0.0,1.08,1.44,1.8,0.72,0.36,0.36
09:00 - 10:00,0.36,0.36,0.36,1.44,0.36,0.0,0.0
10:00 - 11:00,0.72,0.36,2.16,0.36,0.0,1.08,0.0
11:00 - 12:00,0.0,0.72,1.44,0.72,0.36,0.36,0.36
12:00 - 13:00,0.0,1.44,0.0,1.8,0.72,1.44,0.36
13:00 - 14:00,0.72,0.0,0.72,0.36,0.36,0.0,0.0
14:00 - 15:00,0.72,0.0,0.36,0.0,1.8,0.0,0.36
15:00 - 16:00,0.72,0.72,0.0,0.36,0.0,0.0,0.36
16:00 - 17:00,0.0,0.0,0.36,0.36,0.0,0.72,0.0
17:00 - 18:00,0.36,0.72,1.8,0.72,0.0,1.08,0.0
18:00 - 19:00,0.72,0.0,0.36,0.36,0.0,0.72,0.0
19:00 - 20:00,1.08,0.36,0.72,0.72,0.36,0.0,0.0
20:00 - 21:00,0.0,1.44,1.8,1.44,0.72,0.0,0.0
21:00 - 22:00,0.36,0.72,0.72,1.08,0.72,0.0,0.0
22:00 - 23:00,0.72,1.08,0.72,0.72,1.08,0.0,0.0
23:00 - 00:00,0.36,0.72,1.8,0.36,1.08,0.0,0.72
