 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,0.0,0.0,0.0,0.31,0.0
01:00 - 02:00,1.24,0.62,0.0,2.48,0.0,0.0,0.62
02:00 - 03:00,2.48,0.93,1.55,2.8,1.55,0.0,1.24
03:00 - 04:00,4.66,7.14,1.55,1.24,0.62,0.0,0.93
04:00 - 05:00,0.31,0.0,1.24,0.93,0.31,0.0,0.31
05:00 - 06:00,0.0,0.62,0.31,0.31,0.0,1.24,0.0
06:00 - 07:00,0.93,1.24,3.42,0.62,1.24,0.62,0.0
07:00 - 08:00,3.11,0.31,1.86,0.93,1.86,4.04,0.0
08:00 - 09:00,1.24,0.93,2.17,1.55,3.11,1.24,0.62
09:00 - 10:00,0.62,0.0,1.86,0.62,1.24,0.0,0.31
10:00 - 11:00,1.55,0.0,0.31,0.31,0.31,0.0,0.0
11:00 - 12:00,0.93,1.55,1.55,0.62,2.48,2.17,0.0
12:00 - 13:00,0.93,1.55,1.24,0.62,0.62,0.93,0.0
13:00 - 14:00,0.31,1.55,0.31,0.31,0.93,0.0,0.0
14:00 - 15:00,0.62,0.31,1.55,0.31,0.93,0.0,0.0
15:00 - 16:00,0.0,0.31,0.93,0.0,0.0,0.0,0.0
16:00 - 17:00,0.0,0.0,0.0,0.0,0.31,0.0,0.31
17:00 - 18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18:00 - 19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:00 - 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:00 - 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21:00 - 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22:00 - 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:00 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
