 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.75,2.24,1.12,1.87,0.37,0.0
01:00 - 02:00,0.0,0.75,2.61,1.12,0.75,1.12,0.0
02:00 - 03:00,0.37,0.37,2.61,2.61,0.75,0.37,0.0
03:00 - 04:00,0.0,1.12,0.75,2.61,2.24,2.24,0.0
04:00 - 05:00,0.0,1.49,2.99,2.24,1.12,3.36,0.0
05:00 - 06:00,0.0,1.49,0.75,2.61,1.49,1.87,0.0
06:00 - 07:00,0.0,0.37,0.37,1.87,0.0,2.24,0.0
07:00 - 08:00,0.0,0.37,0.0,0.75,2.24,0.37,0.37
08:00 - 09:00,0.0,0.37,0.0,0.75,0.75,0.0,0.0
09:00 - 10:00,0.0,0.37,0.37,0.0,0.37,0.0,0.0
10:00 - 11:00,0.0,0.0,0.75,0.37,0.0,0.0,0.0
11:00 - 12:00,1.12,0.37,0.37,0.0,1.12,0.0,0.0
12:00 - 13:00,0.0,0.37,0.37,0.0,0.0,0.0,0.37
13:00 - 14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14:00 - 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15:00 - 16:00,0.0,0.0,0.0,0.0,0.37,0.0,0.0
16:00 - 17:00,0.0,0.37,0.0,0.0,0.0,0.0,0.0
17:00 - 18:00,0.0,0.37,0.0,0.0,0.0,0.0,0.0
18:00 - 19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:00 - 20:00,0.0,0.75,0.37,0.0,0.0,0.0,0.0
20:00 - 21:00,0.0,0.37,0.75,1.49,0.75,0.0,0.0
21:00 - 22:00,1.87,2.99,1.49,2.61,0.75,0.37,0.0
22:00 - 23:00,1.12,2.99,2.24,0.37,1.49,0.0,0.0
23:00 - 00:00,2.61,2.61,1.49,2.24,1.49,0.0,0.37
