 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,4.21,5.26,2.11,2.11,0.0
01:00 - 02:00,2.11,4.21,0.0,0.0,0.0,2.11,0.0
02:00 - 03:00,0.0,1.05,2.11,1.05,0.0,1.05,1.05
03:00 - 04:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05
04:00 - 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00 - 06:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05
06:00 - 07:00,0.0,0.0,0.0,0.0,0.0,1.05,0.0
07:00 - 08:00,0.0,4.21,1.05,0.0,3.16,0.0,0.0
08:00 - 09:00,0.0,1.05,1.05,0.0,1.05,0.0,0.0
09:00 - 10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10:00 - 11:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:00 - 12:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:00 - 13:00,0.0,0.0,0.0,0.0,1.05,0.0,0.0
13:00 - 14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14:00 - 15:00,0.0,1.05,0.0,0.0,2.11,0.0,0.0
15:00 - 16:00,0.0,1.05,0.0,0.0,0.0,0.0,0.0
16:00 - 17:00,1.05,0.0,0.0,0.0,1.05,0.0,0.0
17:00 - 18:00,3.16,0.0,0.0,0.0,0.0,0.0,0.0
18:00 - 19:00,4.21,1.05,3.16,0.0,0.0,0.0,0.0
19:00 - 20:00,3.16,0.0,2.11,1.05,1.05,0.0,0.0
20:00 - 21:00,1.05,1.05,2.11,0.0,0.0,0.0,0.0
21:00 - 22:00,2.11,5.26,1.05,2.11,1.05,0.0,0.0
22:00 - 23:00,1.05,2.11,3.16,0.0,1.05,0.0,1.05
23:00 - 00:00,1.05,0.0,1.05,2.11,1.05,0.0,1.05
