 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,2.06,0.0,0.0,0.0,0.0
01:00 - 02:00,0.0,0.0,1.03,1.03,0.0,0.0,0.0
02:00 - 03:00,0.0,0.0,0.0,1.03,0.0,0.0,0.0
03:00 - 04:00,0.0,2.06,0.0,1.03,0.0,0.0,0.0
04:00 - 05:00,1.03,0.0,0.0,0.0,0.0,0.0,0.0
05:00 - 06:00,1.03,0.0,1.03,0.0,0.0,0.0,0.0
06:00 - 07:00,0.0,0.0,0.0,2.06,1.03,0.0,0.0
07:00 - 08:00,1.03,0.0,1.03,1.03,0.0,0.0,0.0
08:00 - 09:00,1.03,2.06,0.0,1.03,0.0,0.0,0.0
09:00 - 10:00,0.0,0.0,1.03,0.0,0.0,0.0,0.0
10:00 - 11:00,0.0,0.0,2.06,1.03,0.0,0.0,0.0
11:00 - 12:00,2.06,1.03,1.03,0.0,2.06,0.0,0.0
12:00 - 13:00,1.03,6.19,2.06,1.03,2.06,0.0,0.0
13:00 - 14:00,2.06,3.09,1.03,1.03,0.0,0.0,0.0
14:00 - 15:00,1.03,1.03,3.09,4.12,3.09,0.0,0.0
15:00 - 16:00,0.0,0.0,6.19,2.06,0.0,0.0,0.0
16:00 - 17:00,2.06,1.03,1.03,1.03,1.03,0.0,0.0
17:00 - 18:00,1.03,1.03,0.0,0.0,1.03,0.0,0.0
18:00 - 19:00,1.03,2.06,0.0,0.0,1.03,0.0,0.0
19:00 - 20:00,0.0,1.03,3.09,0.0,0.0,0.0,0.0
20:00 - 21:00,0.0,0.0,0.0,2.06,0.0,0.0,0.0
21:00 - 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22:00 - 23:00,2.06,0.0,0.0,1.03,0.0,0.0,1.03
23:00 - 00:00,1.03,1.03,0.0,1.03,0.0,0.0,1.03
