 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:00 - 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00 - 03:00,0.0,0.0,0.47,0.0,0.0,0.0,0.0
03:00 - 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:00 - 05:00,0.0,0.0,0.0,0.47,0.0,0.0,0.0
05:00 - 06:00,0.93,0.0,0.47,0.0,0.47,0.0,0.0
06:00 - 07:00,0.47,0.47,0.0,0.47,0.0,0.0,0.0
07:00 - 08:00,1.4,0.0,0.93,0.0,0.93,0.0,0.0
08:00 - 09:00,1.4,0.47,1.87,1.87,0.0,0.0,0.0
09:00 - 10:00,1.4,1.87,2.8,2.34,3.74,0.0,0.0
10:00 - 11:00,0.0,0.93,2.8,0.93,0.93,0.0,0.0
11:00 - 12:00,2.8,3.27,0.93,1.87,1.4,0.0,0.0
12:00 - 13:00,2.8,2.8,2.8,3.27,0.0,0.0,0.0
13:00 - 14:00,1.87,2.34,0.0,2.8,2.8,0.0,0.0
14:00 - 15:00,2.34,1.87,0.47,1.87,1.4,0.0,0.0
15:00 - 16:00,1.4,3.27,1.4,1.87,1.4,1.4,0.0
16:00 - 17:00,1.87,0.93,0.47,1.87,0.0,0.0,0.0
17:00 - 18:00,1.87,0.47,0.0,2.34,1.4,0.0,0.0
18:00 - 19:00,0.0,0.93,0.93,0.0,0.0,0.0,0.0
19:00 - 20:00,0.47,0.0,0.47,0.93,0.0,0.0,0.0
20:00 - 21:00,0.0,0.47,0.47,0.0,0.0,0.0,0.0
21:00 - 22:00,0.47,0.47,1.4,0.0,0.0,0.0,0.0
22:00 - 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:00 - 00:00,0.0,0.0,0.47,0.0,0.0,0.0,0.0
