 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,1,3,1,4,7,0
01:00 - 02:00,0,0,1,1,1,1,0
02:00 - 03:00,0,0,1,0,0,0,0
03:00 - 04:00,0,0,0,0,0,0,1
04:00 - 05:00,0,0,0,0,3,2,2
05:00 - 06:00,0,0,1,1,3,0,1
06:00 - 07:00,0,0,1,0,0,0,0
07:00 - 08:00,0,0,0,0,0,0,0
08:00 - 09:00,0,0,0,0,0,1,0
09:00 - 10:00,0,0,0,0,1,0,4
10:00 - 11:00,1,0,0,0,0,0,0
11:00 - 12:00,0,0,0,0,0,0,0
12:00 - 13:00,0,1,0,0,0,0,0
13:00 - 14:00,1,2,1,0,2,0,0
14:00 - 15:00,0,0,1,0,0,0,0
15:00 - 16:00,1,4,1,3,0,0,0
16:00 - 17:00,1,3,1,1,2,0,0
17:00 - 18:00,2,2,4,4,2,1,0
18:00 - 19:00,0,5,1,4,2,0,0
19:00 - 20:00,5,4,2,1,3,0,0
20:00 - 21:00,2,2,2,2,5,2,0
21:00 - 22:00,8,5,1,4,7,0,3
22:00 - 23:00,4,4,0,0,5,0,0
23:00 - 00:00,1,2,5,2,2,0,1
