 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.38,0.38,0.77,4.62,0.0,0.38,0.0
01:00 - 02:00,0.38,0.38,0.0,4.62,1.54,0.0,0.0
02:00 - 03:00,0.77,0.38,0.38,1.15,0.38,0.0,0.0
03:00 - 04:00,1.15,0.0,0.38,0.38,0.77,0.0,0.0
04:00 - 05:00,0.38,1.15,1.92,8.08,1.15,0.0,0.0
05:00 - 06:00,2.69,3.08,3.85,3.85,3.46,0.0,0.0
06:00 - 07:00,0.77,3.08,3.08,1.54,2.31,0.0,0.0
07:00 - 08:00,1.15,0.38,3.08,3.85,0.0,0.0,0.0
08:00 - 09:00,0.0,0.0,0.77,0.77,0.77,0.0,0.0
09:00 - 10:00,0.38,0.38,3.46,0.38,0.0,0.0,0.0
10:00 - 11:00,2.69,1.15,0.77,0.77,0.0,0.0,0.0
11:00 - 12:00,0.0,0.77,1.54,1.54,0.0,0.77,0.0
12:00 - 13:00,0.0,1.15,0.77,0.0,0.77,0.0,0.0
13:00 - 14:00,0.0,0.38,0.38,0.0,0.38,0.0,0.0
14:00 - 15:00,0.0,0.38,0.0,0.0,0.0,0.0,0.0
15:00 - 16:00,0.0,3.08,0.0,0.0,0.0,0.0,0.0
16:00 - 17:00,0.77,0.77,0.77,0.0,0.0,0.0,0.0
17:00 - 18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18:00 - 19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:00 - 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:00 - 21:00,0.0,0.38,0.0,0.0,0.0,0.0,0.0
21:00 - 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22:00 - 23:00,0.0,0.0,0.77,0.0,0.0,0.0,0.77
23:00 - 00:00,0.0,0.38,2.31,0.38,0.0,0.0,0.38
