 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.37,0.74,2.23,0.74,1.12,0.0,0.74
01:00 - 02:00,0.74,0.74,1.12,0.37,0.74,0.37,0.37
02:00 - 03:00,0.37,0.74,0.37,0.37,0.0,0.0,0.37
03:00 - 04:00,0.0,0.74,0.0,0.37,1.49,0.37,0.0
04:00 - 05:00,0.0,0.37,0.0,2.97,0.74,0.74,0.37
05:00 - 06:00,0.74,1.12,1.86,0.37,2.23,0.0,0.0
06:00 - 07:00,0.0,0.74,0.74,0.37,0.74,0.37,0.74
07:00 - 08:00,0.0,0.74,0.37,0.0,0.74,1.12,0.0
08:00 - 09:00,0.0,1.49,0.0,1.12,0.37,0.37,0.0
09:00 - 10:00,1.49,1.12,0.37,0.0,0.0,0.0,0.0
10:00 - 11:00,0.0,0.74,0.0,0.37,0.0,0.0,0.0
11:00 - 12:00,0.0,0.37,0.74,0.0,0.0,0.0,0.0
12:00 - 13:00,0.0,0.37,0.37,0.0,0.74,0.37,0.0
13:00 - 14:00,0.37,1.86,0.37,0.0,0.0,0.0,0.37
14:00 - 15:00,1.49,0.74,0.74,0.37,0.37,0.0,0.37
15:00 - 16:00,0.37,0.74,0.0,1.86,0.0,0.0,0.0
16:00 - 17:00,0.37,1.12,1.12,0.74,1.12,1.12,1.12
17:00 - 18:00,1.49,0.74,1.86,0.0,0.37,0.0,0.74
18:00 - 19:00,1.49,1.49,1.49,0.0,1.49,0.74,1.12
19:00 - 20:00,0.74,0.74,0.74,1.49,1.12,0.0,0.74
20:00 - 21:00,0.37,0.37,1.12,2.23,0.37,0.37,0.37
21:00 - 22:00,0.37,0.37,0.74,0.37,1.12,0.0,0.37
22:00 - 23:00,1.12,1.12,0.74,0.74,0.74,0.37,0.37
23:00 - 00:00,0.37,0.74,0.74,1.86,2.23,0.37,0.37
