 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,1.17,3.52,0.98,1.17,0.78,0.0
01:00 - 02:00,0.0,0.39,0.2,0.39,0.78,0.78,0.0
02:00 - 03:00,0.2,0.39,0.39,0.0,0.2,0.39,0.0
03:00 - 04:00,0.0,0.39,0.0,0.78,0.2,0.78,0.0
04:00 - 05:00,0.0,0.0,0.2,0.0,0.2,0.0,0.0
05:00 - 06:00,0.0,0.39,0.2,0.39,0.59,0.0,0.0
06:00 - 07:00,0.0,0.39,0.0,0.2,0.39,0.2,0.0
07:00 - 08:00,0.0,0.0,0.0,0.39,0.0,0.0,0.0
08:00 - 09:00,0.0,0.0,0.2,0.0,0.2,0.0,0.0
09:00 - 10:00,0.39,0.2,0.0,0.2,0.39,0.0,0.0
10:00 - 11:00,0.39,0.2,0.2,0.0,0.2,0.0,0.0
11:00 - 12:00,0.2,0.39,0.78,0.39,0.0,0.0,0.0
12:00 - 13:00,0.2,0.2,0.59,0.2,0.2,0.0,0.0
13:00 - 14:00,0.39,0.2,0.78,0.2,0.2,0.0,0.0
14:00 - 15:00,0.2,0.2,0.39,0.0,0.59,0.0,0.0
15:00 - 16:00,0.59,0.59,0.39,0.2,0.59,0.0,0.0
16:00 - 17:00,0.39,2.34,1.56,1.76,0.98,0.0,0.0
17:00 - 18:00,1.17,1.56,0.98,0.98,2.15,0.2,0.39
18:00 - 19:00,2.15,1.95,1.76,1.95,2.15,0.0,0.0
19:00 - 20:00,1.76,0.39,1.17,1.17,1.56,0.0,0.0
20:00 - 21:00,2.34,1.95,2.34,1.37,2.15,0.0,0.0
21:00 - 22:00,1.76,1.56,2.15,0.98,1.76,0.0,0.0
22:00 - 23:00,1.37,2.15,2.73,1.37,3.71,0.0,0.0
23:00 - 00:00,2.15,3.32,1.76,1.37,2.34,0.0,0.39
