 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,0,0,0,0,1,0
01:00 - 02:00,0,4,4,3,8,2,0
02:00 - 03:00,0,2,3,4,5,2,0
03:00 - 04:00,2,1,2,1,4,4,0
04:00 - 05:00,2,0,2,2,2,1,0
05:00 - 06:00,0,1,3,1,0,3,1
06:00 - 07:00,0,6,2,6,3,3,0
07:00 - 08:00,1,7,3,2,2,2,0
08:00 - 09:00,1,2,1,3,6,1,1
09:00 - 10:00,0,4,1,2,2,0,3
10:00 - 11:00,1,2,2,1,3,1,0
11:00 - 12:00,0,0,2,0,1,0,1
12:00 - 13:00,0,0,0,1,1,0,0
13:00 - 14:00,0,0,1,0,1,1,0
14:00 - 15:00,1,1,3,3,2,0,0
15:00 - 16:00,0,0,1,1,4,0,0
16:00 - 17:00,0,0,2,0,0,0,0
17:00 - 18:00,0,0,0,0,0,0,0
18:00 - 19:00,0,0,0,0,0,0,0
19:00 - 20:00,0,0,0,1,0,0,0
20:00 - 21:00,0,1,0,0,0,0,0
21:00 - 22:00,0,0,0,0,0,0,0
22:00 - 23:00,0,0,0,0,0,0,0
23:00 - 00:00,0,0,1,1,0,0,0
