 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:00 - 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00 - 03:00,0.21,0.41,0.21,0.0,0.21,0.0,0.0
03:00 - 04:00,0.82,0.62,0.41,0.0,0.0,0.0,0.0
04:00 - 05:00,1.64,0.62,1.03,0.62,2.67,0.0,0.0
05:00 - 06:00,1.85,0.62,1.03,1.03,2.26,0.0,0.0
06:00 - 07:00,1.44,1.03,2.67,0.62,0.82,0.0,0.0
07:00 - 08:00,1.03,1.44,1.64,1.44,1.03,0.0,0.0
08:00 - 09:00,1.85,1.64,2.05,2.05,1.44,0.0,0.0
09:00 - 10:00,5.75,3.9,1.03,1.44,1.85,0.0,0.0
10:00 - 11:00,1.64,5.13,3.29,1.44,1.23,0.0,0.0
11:00 - 12:00,0.82,1.44,1.44,1.44,1.44,0.0,0.0
12:00 - 13:00,1.23,4.93,1.64,1.23,1.23,0.0,0.0
13:00 - 14:00,3.29,0.62,1.44,0.82,1.85,0.0,0.0
14:00 - 15:00,1.64,0.82,0.21,0.62,1.03,0.0,0.0
15:00 - 16:00,0.41,0.21,1.03,0.21,0.21,0.0,0.0
16:00 - 17:00,0.41,0.41,0.0,0.21,0.41,0.0,0.21
17:00 - 18:00,0.0,0.0,0.21,0.0,0.21,0.0,0.0
18:00 - 19:00,0.21,0.0,0.0,0.0,0.0,0.0,0.0
19:00 - 20:00,0.0,0.41,0.0,0.0,0.0,0.0,0.0
20:00 - 21:00,0.21,0.62,0.0,0.0,0.21,0.0,0.0
21:00 - 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22:00 - 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:00 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
